from_bus,to_bus,r,x,b,rateA,ratio
47,49,3.637404,11.9025,223.4164117477072,180.0,1.0
42,49,13.61646,61.51212,1197.8685417894524,180.0,1.0
42,49,13.61646,61.51212,1197.8685417894524,180.0,1.0
45,49,13.026096,35.42184,618.4344564587407,180.0,1.0
48,49,3.408876,9.61722,175.22309599664314,180.0,1.0
49,50,5.084748,14.321088,261.0239124783063,180.0,1.0
49,51,9.255384,26.09028,476.36167592092187,180.0,1.0
51,52,3.865932,11.197872,194.44470748117158,180.0,1.0
52,53,7.71282,31.13694,565.2268072769301,180.0,1.0
53,54,5.008572,23.23368,431.78982320317476,180.0,1.0
49,54,13.90212,55.03715999999999,1027.938353303042,180.0,1.0
49,54,16.549236,55.41804,1016.7953901236049,180.0,1.0
54,55,3.218436,13.464108,281.35982028077837,180.0,1.0
54,56,0.52371,1.818702,101.95811309184643,180.0,1.0
55,56,0.9293472,2.875644,52.09335286386689,180.0,1.0
56,57,6.532092,18.396504,337.07463617796225,180.0,1.0
50,57,9.026856,25.51896,462.43297194662586,180.0,1.0
56,58,6.532092,18.396504,337.07463617796225,180.0,1.0
51,58,4.85622,13.692636,249.04522706041178,180.0,1.0
54,59,9.579132,43.667892,832.9364976628983,180.0,1.0
56,59,15.7113,47.80044,792.5432561374402,180.0,1.0
56,59,15.292332,45.51515999999999,746.5785330222635,180.0,1.0
55,59,9.0249516,41.09695199999999,786.41462638875,180.0,1.0
59,60,6.036948,27.6138,523.7192694335281,180.0,1.0
59,61,6.246432,28.566,540.4337142026832,180.0,1.0
60,61,0.5027616,2.57094,202.80192986574917,180.0,1.0
60,62,2.342412,10.683684,204.4733743426647,180.0,1.0
61,62,1.5692256,7.160544,136.50129894810038,180.0,1.0
63,64,2.04723,23.805,481.37600935166836,700.0,1.0
38,65,10.7241525,117.35865,2331.107897138172,700.0,1.0
64,65,3.2017725,35.94555,846.8652016371943,700.0,1.0
49,66,3.42792,17.501436,345.43185856253984,180.0,1.0
49,66,3.42792,17.501436,345.43185856253984,180.0,1.0
62,66,9.179208,41.51592,805.0790897143065,180.0,1.0
62,67,4.913352,22.28148,431.78982320317476,180.0,1.0
66,67,4.265856,19.32966,373.56784059061766,180.0,1.0
47,69,16.073136,52.904232,987.8236858570693,180.0,1.0
49,69,18.75834,61.70256,1153.2966890717055,180.0,1.0
69,70,5.7132,24.18588,1699.301884864107,180.0,1.0
24,70,0.4208724,78.36605999999999,1420.449231298702,180.0,1.0
70,71,1.6796808,6.76062,122.29402089431852,180.0,1.0
24,72,9.293472,37.32624,679.7207539456429,180.0,1.0
71,72,8.493624,34.2792,618.9916046177125,180.0,1.0
71,73,1.6492104,8.645976,164.08013281720642,180.0,1.0
70,74,7.636644,25.195212,469.11874985428796,180.0,1.0
70,75,8.150832,26.85204,501.43334307465454,180.0,1.0
69,75,7.71282,23.23368,1727.159292812699,180.0,1.0
74,75,2.342412,7.731864,144.0227990942202,180.0,1.0
76,77,8.455536,28.18512,512.5763062540914,180.0,1.0
69,77,5.884596,19.23444,1445.7994725319206,180.0,1.0
75,77,11.445444,38.068956,693.3708838404528,180.0,1.0
77,78,0.7160544,2.361456,176.05881823510094,180.0,1.0
78,79,1.0398024,4.646736,90.25800175343781,180.0,1.0
77,80,3.23748,9.23634,657.4348275867692,180.0,1.0
77,80,5.598936,19.9962,317.57445061394793,180.0,1.0
79,80,2.970864,13.406976,260.46676431933446,180.0,1.0
77,82,5.675112,16.244532,1138.5322628589518,180.0,1.0
82,83,2.132928,6.979626,528.7336028642746,180.0,1.0
83,84,11.9025,25.13808,359.36056253683574,180.0,1.0
83,85,8.18892,28.18512,484.7188983054994,180.0,1.0
84,85,5.751288,12.207204,171.88020704281212,180.0,1.0
85,86,6.6654,23.42412,384.4322296905685,180.0,1.0
85,88,3.8088,19.42488,384.4322296905685,180.0,1.0
85,89,4.551516,32.94612,654.6490867919101,180.0,1.0
88,89,2.647116,13.559328,269.38113486288387,180.0,1.0
89,90,9.864792,35.80272,735.4355698428267,180.0,1.0
89,90,4.532472,18.986868,1476.4426212753715,180.0,1.0
90,91,4.837176,15.920784,298.0742650499335,180.0,1.0
89,92,1.885356,9.61722,763.2929777914186,180.0,1.0
89,92,7.484292,30.108564,576.6483445358527,180.0,1.0
91,92,7.370028,24.223968,455.19004587999194,180.0,1.0
92,93,4.913352,16.149312,303.6457466396519,180.0,1.0
92,94,9.160164,30.08952,565.5053813564159,180.0,1.0
93,94,4.246812,13.940208,261.30248655779224,180.0,1.0
94,95,2.513808,8.265096,154.60861411468517,180.0,1.0
80,96,6.779664,34.66008,688.0779763302204,180.0,1.0
82,96,3.085128,10.09332,757.7214962017001,180.0,1.0
94,96,5.122836,16.549236,320.36019140880705,180.0,1.0
80,97,3.485052,17.787096,353.7890809471173,180.0,1.0
80,98,4.532472,20.56752,398.36093366486443,180.0,1.0
80,99,8.645976,39.23063999999999,760.5072369965594,180.0,1.0
92,100,12.340512,56.17979999999999,657.4348275867692,180.0,1.0
94,100,3.389832,11.04552,841.293720047476,180.0,1.0
95,96,3.256524,10.417068,205.30909658112245,180.0,1.0
96,97,3.294612,16.85394,334.288895383103,180.0,1.0
98,100,7.560468,34.08876,663.0063091764879,180.0,1.0
99,100,3.42792,15.482772,300.86000584479274,180.0,1.0
100,101,5.275188,24.033528,456.86149035690755,180.0,1.0
92,102,2.342412,10.645596,203.91622618369286,180.0,1.0
101,102,4.684824,21.32928,409.5038968443012,180.0,1.0
100,103,3.04704,9.9981,746.5785330222635,180.0,1.0
100,104,8.588844,38.84976,753.5428850094115,180.0,1.0
103,104,8.874504,30.165696,566.8982517538456,180.0,1.0
103,105,10.18854,30.9465,568.2911221512752,180.0,1.0
100,106,11.52162,43.61076,863.5796464063495,180.0,1.0
104,105,1.8929736,7.198632,137.33702118655816,180.0,1.0
105,106,2.66616,10.417068,199.73761499140406,180.0,1.0
105,107,10.09332,34.85052,657.4348275867692,180.0,1.0
105,108,4.970484,13.387932,256.8453012860175,180.0,1.0
106,107,10.09332,34.85052,657.4348275867692,180.0,1.0
108,109,1.99962,5.484672,105.85815020464929,180.0,1.0
103,110,7.4385864,34.52677199999999,642.1132532150438,180.0,1.0
109,110,5.294232,14.511528,281.35982028077837,180.0,1.0
110,111,4.18968,14.37822,278.5740794859192,180.0,1.0
110,112,4.703868,12.18816,863.5796464063495,180.0,1.0
17,113,1.7387172,5.732244,106.97244652259296,180.0,1.0
32,113,11.71206,38.65932,721.5068658685307,180.0,1.0
32,114,2.57094,11.654928,226.7593007015382,180.0,1.0
27,115,3.123216,14.111604,274.6740423731163,180.0,1.0
114,115,0.438012,1.980576,38.44322296905685,180.0,1.0
12,117,6.265476,26.6616,498.64760227979536,180.0,1.0
75,118,2.76138,9.160164,166.86587361206557,180.0,1.0
76,118,3.123216,10.359936,188.87322589145322,180.0,1.0
